 ###############
  -2.69880376380900       0.000000000000000E+000   2.69880376380900
  0.000000000000000E+000   2.69880376380900        2.69880376380900
  -2.69880376380900        2.69880376380900       0.000000000000000E+000
           8
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    1    8    0.37763352E-02 -0.55463849E-07
    2    8   -0.67280727E-02  0.60498576E-07
    3    8   -0.67280748E-02  0.77173647E-07
    4    8   -0.67280744E-02  0.91902219E-07
    5    8   -0.48364614E-02  0.19681336E-07
    6    8    0.48364617E-02 -0.14084218E-07
    7    8    0.48364599E-02 -0.30455651E-07
    8    8    0.91379504E-02 -0.16318338E-16

   -2   -1    1
    1    1   -0.20391536E-01 -0.47088923E-09
    2    1    0.22196264E-02  0.13527085E-07
    3    1    0.25997981E-01  0.71263270E-07
    4    1    0.22196265E-02  0.24440879E-08
    5    1    0.21166066E-01  0.22606700E-06
    6    1   -0.21166062E-01 -0.24593904E-06
    7    1    0.11617000E-01  0.90896124E-07
    8    1   -0.10228703E-01 -0.14930206E-06
    1    2    0.26988811E-02 -0.13377562E-07
    2    2    0.78001142E-03 -0.10847410E-08
    3    2    0.22196282E-02 -0.71342761E-08
    4    2   -0.15342717E-01  0.71018857E-07
    5    2    0.13565624E-01  0.67899786E-07
    6    2    0.14103539E-01  0.85363821E-07
    7    2    0.23201685E-01  0.58602770E-07
    8    2    0.21166063E-01  0.18661514E-06
    1    3    0.27948614E-02 -0.10260443E-07
    2    3    0.26988806E-02  0.79270630E-08
    3    3   -0.20391535E-01  0.10094863E-09
    4    3    0.26988809E-02 -0.50463582E-08
    5    3   -0.23201684E-01 -0.18135079E-06
    6    3    0.23201684E-01  0.20618136E-06
    7    3   -0.40015839E-01 -0.20702029E-06
    8    3   -0.11617000E-01 -0.13614478E-06
    1    4    0.26988838E-02 -0.23599491E-08
    2    4   -0.15342720E-01 -0.70204427E-07
    3    4    0.22196261E-02  0.18415044E-08
    4    4    0.78001157E-03  0.41306233E-09
    5    4   -0.14103544E-01 -0.13672313E-06
    6    4   -0.13565626E-01 -0.14543818E-06
    7    4    0.23201685E-01  0.16337062E-06
    8    4    0.21166064E-01  0.28847150E-06
    1    5    0.33899353E-02 -0.37931621E-07
    2    5    0.33899356E-02 -0.18539610E-07
    3    5   -0.67280717E-02  0.53304003E-07
    4    5   -0.57199721E-02  0.57409158E-07
